Fecha-Hora  (UTC),Lat(°),Long(°),Prof(Km),Mag.,Tipo Mag.,Rms(Seg),Gap(°),Error Lat(Km),Error Long(Km),Error Prof(Km),Region,Estado,lat_corregida,lon_corregida,municipio,departamento,cod_municipio,cod_departamento
41733.571909722225,8454,-74130,0.029,4.5717,MLr_vmm,0.1,195,1.0,45778.0,45779.0,"Norosí - Bolívar, Colombia",Manual,8.454,-74.13,NOROSÍ,BOLÍVAR,490,13
41733.805439814816,8925,-73457,45.758,4.5658,MLr_vmm,0.2,275,45661.0,45811.0,45722.0,"Pailitas - Cesar, Colombia",Manual,8.925,-73.457,PAILITAS,CESAR,517,20
41734.072905092595,7179,-73467,45.683,0.0001,MLr_vmm,0.3,288,45663.0,45905.0,45785.0,"Sabana de Torres - Santander, Colombia",Manual,7.179,-73.467,SABANA DE TORRES,SANTANDER,655,68
41734.304085648146,6896,-73629,45.659,4.581,MLr_vmm,0.5,182,45660.0,45871.0,45875.0,"San Vicente de Chucurí - Santander, Colombia",Manual,6.896,-73.629,SAN VICENTE DE CHUCURÍ,SANTANDER,689,68
41734.86982638889,8624,-73483,45.761,0.0001,MLr_vmm,0.4,244,45721.0,45722.0,45662.0,"El Carmen - Norte de Santander, Colombia",Manual,8.624,-73.483,EL CARMEN,NORTE DE SANTANDER,245,54
41735.27958333334,7787,-74101,45.794,4.5689,MLr_vmm,0.4,113,45659.0,45840.0,4.0,"Santa Rosa del Sur - Bolívar, Colombia",Manual,7.787,-74.101,SIMITÍ,BOLÍVAR,744,13
41735.962546296294,8480,-74158,45.919,2.9999999999999997e-05,MLr_vmm,0.1,202,0.8,45839.0,45778.0,"Norosí - Bolívar, Colombia",Manual,8.48,-74.158,NOROSÍ,BOLÍVAR,490,13
41736.199895833335,8978,-73408,45.856,4e-05,MLr_vmm,0.0,306,45901.0,45872.0,45660.0,"Pailitas - Cesar, Colombia",Manual,8.978,-73.408,EL CARMEN,NORTE DE SANTANDER,245,54
41736.881053240744,8033,-74267,0.048,4.5748,MLr_vmm,0.4,147,45718.0,3.0,45784.0,"Santa Rosa del Sur - Bolívar, Colombia",Manual,8.033,-74.267,SANTA ROSA DEL SUR,BOLÍVAR,688,13
41737.01739583333,8799,-73495,45.926,9e-05,MLr_vmm,0.3,261,45661.0,45692.0,45783.0,"Pelaya - Cesar, Colombia",Manual,8.799,-73.495,PELAYA,CESAR,550,20
41737.135729166665,7162,-73392,0.0,4.5658,MLr_vmm,0.3,230,45660.0,45812.0,45695.0,"Lebrija - Santander, Colombia",Manual,7.162,-73.392,LEBRIJA,SANTANDER,406,68
41737.1634837963,8833,-73370,45.732,8e-05,MLr_vmm,0.4,268,45873.0,45782.0,45722.0,"Pailitas - Cesar, Colombia",Manual,8.833,-73.37,EL CARMEN,NORTE DE SANTANDER,245,54
41737.70491898148,8196,-74101,0.015,4.5717,MLr_vmm,0.4,188,45901.0,45780.0,45783.0,"Santa Rosa del Sur - Bolívar, Colombia",Manual,8.196,-74.101,MORALES,BOLÍVAR,473,13
41738.292858796296,6874,-73762,0.0,0.0001,MLr_vmm,0.3,214,45691.0,45719.0,45785.0,"Yondó (Casabe) - Antioquia, Colombia",Manual,6.874,-73.762,BARRANCABERMEJA,SANTANDER,081,68
41738.65561342592,8737,-73357,45.918,7e-05,MLr_vmm,0.4,263,45694.0,45695.0,45752.0,"El Carmen - Norte de Santander, Colombia",Manual,8.737,-73.357,EL CARMEN,NORTE DE SANTANDER,245,54
41738.96525462963,7379,-74242,0.001,7e-05,MLr_vmm,0.4,182,45718.0,45661.0,45754.0,"Cantagallo - Bolívar, Colombia",Manual,7.379,-74.242,SAN PABLO,BOLÍVAR,670,13
41739.010879629626,8371,-74336,45.828,2.9999999999999997e-05,MLr_vmm,0.1,233,45717.0,45780.0,45847.0,"Montecristo - Bolívar, Colombia",Manual,8.371,-74.336,TIQUISIO (Puerto Rico),BOLÍVAR,810,13
41739.1775,8615,-73705,0.0409,2.9999999999999997e-05,MLr_vmm,0.1,194,45809.0,45690.0,45691.0,"Pelaya - Cesar, Colombia",Manual,8.615,-73.705,LA GLORIA,CESAR,383,20
